Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/OpenAgricultureFoundation/openag_brain	OpenAgricultureFoundation	gordonbrander; LeonChambers; sp4ghet; rbaynes; goruck; spaghet; yaromins; yeliztaneroglu; davoclavo; novemberalpha; rwdavis513; edcafenet	Python
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/UTAH-VEXU-Robotics/ros_lib	UTAH-VEXU-Robotics	acetousk	C++
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/gaitech-robotics/gaitech-bci	gaitech-robotics	gaitechdev	Python
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Mufrad6502/SSVEP-BASED-BCI-SYSTEM	Mufrad6502	Mufrad6502	Lua
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ECC-BFMC/Brain_ROS	ECC-BFMC	BFMC-Rares-Lemnariu	C++
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/UGA-AgRobotics/red-rover	UGA-AgRobotics		C++
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/elizabethkoh/BrainROS	elizabethkoh	elizabethkoh	C++
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/methylDragon/teleop_twist_brain_bridge	methylDragon	methylDragon	Python
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Costopoulos/NTUA-Robotics-II	Costopoulos	Costopoulos	Python
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Lwjcasia/BrainRos	Lwjcasia	Krisnon; ybh-siat; Lwjcasia	Python
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Zakhar-the-Robot/brain	Zakhar-the-Robot	an-dr	
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/elizabethkoh/BrainROS_dataproc	elizabethkoh	elizabethkoh	Python
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/cornellev/brain_ros2	cornellev	sidharthmrao; Yey007; selym3; Jklein64; ethanuppal; ChickenCoupe; yuchenie	Python
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/neelpatel114/Brain_ROS	neelpatel114	neelpatel114; BFMC-Rares-Lemnariu	C++
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/HuanyuL/ros_brain	HuanyuL	HuanyuL	C++
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Shikamoto/Brain_ROS	Shikamoto	Hau381	C++
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/MS71/BrainNodeROS2DE	MS71	MS71; mockbot	C++
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Amro-Khairi/brainnest-roshambo	Amro-Khairi	Amro-Khairi	JavaScript
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/OxKybot/OxKybot_ros1_brain	OxKybot	OxKybot	Python
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Alessandropalumbo1997/aurora_brain	Alessandropalumbo1997	Alessandropalumbo1997; leonardopaglia	Makefile
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/anguyen11/ROS-Brainwave-data	anguyen11	anguyen11	Python
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/david-beaudette/stan-head	david-beaudette	david-beaudette	C++
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Riboha/Top-view-navigation	Riboha	Riboha	Python
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/heather-ross/heather-ross-brainflix	heather-ross	heather-ross	SCSS
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/lrosati18/liliana-rosati-brainflix	lrosati18	lrosati18	SCSS
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ECAM-PR4L-Eurobot-2023/Eurobot-2023-BigBrain	ECAM-PR4L-Eurobot-2023	alex210501; fred-corp; olingo99	Python
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ConcaveTeam/software	ConcaveTeam	concavegit; ssreekanth2000	C++
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/MMN0208/BFMC_BKBuilder_Brain_ROS	MMN0208	MMN0208; quang-ngh; haiphamcse; TienVoCEK20; BFMC-Rares-Lemnariu; anhtr-nguyn; NPAnh1109	Jupyter Notebook
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/cryptonitor/Rossum-Industries	cryptonitor	cryptonitor	
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/jackhump/ROSMAP_sQTLviz	jackhump	jackhump	R
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/esmanish/ROS-Emotiv	esmanish	esmanish	CMake
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/eclipse-researchlabs/brain-iot-ros-edge-node	eclipse-researchlabs	codavide	Java
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/childmindresearch/NeuRosetta	childmindresearch	nx10	JavaScript
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/top1944/ExBotBrain	top1944	top1944	
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/junxian428/ROS_Arduino_JetSon_Nano_Motor_Shield_4YellowDCMotor_Car	junxian428	junxian428	C++
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/fxrarz/razah	fxrarz	fxrarz	Python
Accelerating Medicines Partnership - Parkinson's Disease	AMP-PD	Parkinson's Disease; Prodromal Parkinson's Disease; Genetic PD; Essential Tremor; Normal Controls	https://github.com/Nvl101/InfoTheoryParkinson	Nvl101		Jupyter Notebook
Accelerating Medicines Partnership - Parkinson's Disease	AMP-PD	Parkinson's Disease; Prodromal Parkinson's Disease; Genetic PD; Essential Tremor; Normal Controls	https://github.com/aneesh-aparajit/amp-pdpp-rl	aneesh-aparajit	aneesh-aparajit	Jupyter Notebook
Accelerating Medicines Partnership - Parkinson's Disease	AMP-PD	Parkinson's Disease; Prodromal Parkinson's Disease; Genetic PD; Essential Tremor; Normal Controls	https://github.com/helenyjx/Accelerating-Medicines-Partnership-Parkinson-s-Disease-AMP-PD-Progression-Prediction	helenyjx	helenyjx; 5ukhy21; RuixinLou	Jupyter Notebook
Accelerating Medicines Partnership - Parkinson's Disease	AMP-PD	Parkinson's Disease; Prodromal Parkinson's Disease; Genetic PD; Essential Tremor; Normal Controls	https://github.com/neurogenetics/Glia_across_NDDs	neurogenetics	lhoranportelance; domjacri	R
AD Knowledge Portal Multi-Study Collection	AD-Portal	Alzheimer's Disease; Related Dementias; Aging; Normal Controls	https://github.com/BrainaryBackend/Brainary-admin-portal	BrainaryBackend	Jayarmananan1994; BrainaryBackend	TypeScript
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/gemmashireby/BDR_neuropathology_EWAS	gemmashireby	gemmashireby	R
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/IAiAye/BDrive	IAiAye	IAiAye	
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/htil/bdr-muse	htil	BryanHernandez04; ajaymehul; pwstegman; BryanYHernandez	JavaScript
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/htil/bdr-simulator	htil	BryanHernandez04; lcbentley13; BryanYHernandez	CSS
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/hlnkm/helen-kilimanjaro-campaign-2018	hlnkm	joeyklee	HTML
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/charlesdguthrie/APDA_Clock	charlesdguthrie	charlesdguthrie	JavaScript
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/jvson03/web-template-2	jvson03	jvson03	HTML
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/danderfer/Comp_Sci_Sem_2	danderfer	danderfer	Python
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/S4ltster/Beemovie	S4ltster	S4ltster; Deltara3	CSS
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/landonasato/Function	landonasato	landonasato	HTML
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/HimangshuCyber/Math-Quiz	HimangshuCyber	HimangshuCyber	JavaScript
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/mobassir94/Introduction-to-TensorFlow-for-Artificial-Intelligence-Machine-Learning-and-Deep-Learning	mobassir94	mobassir94	Jupyter Notebook
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/SanTanBan/MindControl	SanTanBan	SanTanBan	
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/vunderkind/Brain.js	vunderkind	vunderkind	JavaScript
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/Minh-Nguyen-0401/Business-Data-Analyst-Entrance-Test-IFOOD	Minh-Nguyen-0401	Minh-Nguyen-0401	Jupyter Notebook
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/strazdinalaura/kickstarter-campaign-brainstation	strazdinalaura	strazdinalaura	
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/NoManNayeem/BrainFlex	NoManNayeem	NoManNayeem	HTML
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/patrick-lee-warren/Russian_Hacking_Brain	patrick-lee-warren	patrick-lee-warren	
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/Ad-Blockchain/company.Brain.fm	Ad-Blockchain	Twin-Flame	
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/cyanide863/Project-Braindustry	cyanide863	cyanide863	Java
CamPaIGN Study	CamPaIGN	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/steph-25-dotcom/Brainwave_Matrix_Intern	steph-25-dotcom	steph-25-dotcom	
Cognitive Function and Ageing Study	CFAS	Dementia; Cognitive Decline; Normal Aging	https://github.com/mdrajab/CFAS-and-ADNI-Neuropathology	mdrajab	mdrajab	Jupyter Notebook
Cognitive Function and Ageing Study	CFAS	Dementia; Cognitive Decline; Normal Aging	https://github.com/mdrajab/CFAS-ranking-code	mdrajab	mdrajab	Jupyter Notebook
Cognitive Function and Ageing Study	CFAS	Dementia; Cognitive Decline; Normal Aging	https://github.com/buttybren/Incident-Dementia-in-Wales	buttybren	buttybren	
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/aranganathan01/alzheimersAid	aranganathan01	aranganathan01	
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/rprokap/pset-9	rprokap	rprokap	JavaScript
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/stanleynwakamma/ViBRAINium	stanleynwakamma	stanleynwakamma	
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/0vv1/sos-log	0vv1	0vv1	
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/viktormiok/AstrocytesHeterogenityARC	viktormiok	viktormiok	Jupyter Notebook
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/mrpkdeveloper/BrainHealth	mrpkdeveloper	mrpkdeveloper; vark1; dependabot[bot]	HTML
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/fashionliner/Help	fashionliner	fashionliner	
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/rosshandler/Structure-Indentity	rosshandler	rosshandler	R
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/mehdi4027/satoshi-Nakomoto	mehdi4027		
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/mehdi4027/Solar-Gold-smart-safe-	mehdi4027		
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/wongyoJung/Encoding-the-Glucose-Identity-by-Discrete-Hypothalamic-Neurons-via-the-Gut-Brain-Axis-	wongyoJung	wongyoJung	MATLAB
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/Conxz/PIB	Conxz	Conxz	
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/the-imt/identity_thoughts	the-imt	the-imt	
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/luke-james/braindump-identity	luke-james	luke-james	Python
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/BigBrain-Solutions/BigBrainID	BigBrain-Solutions	Lukeuke	C#
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/AstraXStardust/echosphere	AstraXStardust	AstraXStardust	
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/AHumbleTraveller/Callosum	AHumbleTraveller	AHumbleTraveller	
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/chaitali25386/Differential-Gene-Expression-in-Brain	chaitali25386	chaitali25386	
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/EEG-FGBIO/FGBIO	EEG-FGBIO	EEG-FGBIO	
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	Alzheimer's disease	https://github.com/klevando/BICCN-StrataQuest-Script	klevando	klevando	MATLAB
Mount Sinai Brain Bank	MSBB	Alzheimer's Disease; Other Neurodegenerative Diseases; Normal Controls	https://github.com/jamiecarnevale/RNASeq-AD-Classification	jamiecarnevale	jamiecarnevale	Jupyter Notebook
Seattle Alzheimer's Disease Brain Cell Atlas	SEA-AD	Alzheimer's Disease; Normal Aging	https://github.com/OpenBioResearch/brain-cell-atlas-s3	OpenBioResearch	OpenBioResearch; ggorlen	Python
Seattle Alzheimer's Disease Brain Cell Atlas	SEA-AD	Alzheimer's Disease; Normal Aging	https://github.com/Collinformatics/SEA-AD	Collinformatics	Collinformatics	Python
Seattle Alzheimer's Disease Brain Cell Atlas	SEA-AD	Alzheimer's Disease; Normal Aging	https://github.com/Ehtelpena33/Real-Google-Adword-Search-Advertising-Advanced-Mock-Test-Braindumps-2019-	Ehtelpena33	Ehtelpena33	
MODEL-AD Consortium	MODEL-AD	Alzheimer's Disease (mouse models)	https://github.com/akkayaumit/One2MFusion-MultiModel-AD_Detection	akkayaumit	akkayaumit	Jupyter Notebook
MODEL-AD Consortium	MODEL-AD	Alzheimer's Disease (mouse models)	https://github.com/Sage-Bionetworks/modelad	Sage-Bionetworks	ryaxley	R
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/marioni-group/Epigenome-and-phenome-wide-study-of-brain-health-outcomes	marioni-group	DanniGadd	R
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/DanniGadd/Epigenome-and-phenome-wide-study-of-brain-health-outcomes	DanniGadd	DanniGadd	R
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/XiaoliNolan/GSGLMTL	XiaoliNolan	XiaoliNolan	MATLAB
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/xmootoo/gsp-alzheimer-detection	xmootoo	xmootoo	Jupyter Notebook
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/Magiccapital/D-GSMLM-code	Magiccapital	Magiccapital	MATLAB
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/tonyabracadabra/GSE44772-Alzheimer-Classification	tonyabracadabra	tonyabracadabra	Jupyter Notebook
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/mohamedessamhashim/GSE63060_IL6_Analysis	mohamedessamhashim	mohamedessamhashim	
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/stephaschultz/PSEN1_GSC_DIAN	stephaschultz	stephaschultz	
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/khaledalam/GSE205450_PD_RNAseq_Analysis	khaledalam	khaledalam	Python
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/mohamedOubella/GSEII_2_AI_Project	mohamedOubella	mohamedOubella	Jupyter Notebook
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/Arpitashukla09/Arduino-GPS-GSM-Bulwark	Arpitashukla09	Arpitashukla09	
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/yansheng-qiu/GSS	yansheng-qiu	yansheng-qiu	Python
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/GuangqiWen/BrainGSL	GuangqiWen	GuangqiWen	Python
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/leiferlab/NeRVEclustering	leiferlab	JeffreyNguyen; ashleylinder; aleifer; gplummer	Matlab
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/Gaitxh/GS-GCA-A-novel-robust-Student-s-t-based-Granger-causality-for-EEG-based-brain-network-analysis	Gaitxh	Gaitxh	MATLAB
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/shuo-zhou/GSDA-Lateralization	shuo-zhou	shuo-zhou; junhaols	Jupyter Notebook
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/agriffa/GSP_brain_decode_fingerprint	agriffa	agriffa	MATLAB
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/zyzju/GSSIP	zyzju	zyzju	MATLAB
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/laurabilicz/GSoC2018	laurabilicz	laurabilicz	Python
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/anders-s-olsen/BrainGSP_subject-specific	anders-s-olsen	anders-s-olsen	Jupyter Notebook
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/tlancian/gsp_brain	tlancian	tlancian	Python
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/aayushi-shekhat/GSoC-eeg-brain-classification	aayushi-shekhat	aayushi-shekhat	Jupyter Notebook
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/stmh/gsc-brain-interface	stmh	stmh	JavaScript
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/codeforgso/gso-brain-drain	codeforgso	KageJittai	JavaScript
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/kirinati/Brain_dead_reveltion_GSR	kirinati	kirinati	Jupyter Notebook
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/teohsunyi/gsr-heartbeat-temperature-brainwave	teohsunyi	teohsunyi	C++
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/SethHu20/ChatGSB	SethHu20	SethHu20	
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/TheLegendBreaker/gsd	TheLegendBreaker	TheLegendBreaker	HTML
Generation Scotland	GS	Multiple conditions including neurodegenerative diseases; Normal Aging	https://github.com/palmdalian/gsheet_creator	palmdalian	palmdalian	Python
GERAS Observational Study	GERAS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/eera-l/Geras	eera-l	eera-l; dependabot[bot]	Python
GERAS Observational Study	GERAS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/ranigera/MultiModalMRI_Habits	ranigera	ranigera	Jupyter Notebook
GERAS Observational Study	GERAS	Alzheimer's Disease; Mild Cognitive Impairment	https://github.com/drianne/brainfuck	drianne	drianne; leticiadesouza	C
Northern Ireland Cohort for Longitudinal Study of Ageing	NICOLA	Aging; Multiple age-related conditions	https://github.com/alexandrezamberlan/tcc_nicolas	alexandrezamberlan	alexandrezamberlan	ASL
Northern Ireland Cohort for Longitudinal Study of Ageing	NICOLA	Aging; Multiple age-related conditions	https://github.com/NCBV/PCBS_NicolasBeauvais_project	NCBV	NCBV	Python
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/sonal-bansal/Detection-and-Classification-of-Alzheimers-Disease	sonal-bansal	sonal-bansal	Jupyter Notebook
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/shahidzikria/ADD-Net	shahidzikria	shahidzikria	Jupyter Notebook
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/AMYPAD/AmyPET	AMYPAD	pjmark; casperdcl; gsalvado	Python
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/ashah03/alzheimers-facial-recognition	ashah03	ashah03	Java
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/Abhinav-Kokkadan/Insights-from-Medical-Images-An-AI-Powered-Diagnostic-Tool-for-Disease-Detection-and-Prevention-Tips	Abhinav-Kokkadan	Abhinav-Kokkadan	PureBasic
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/samarth2812/Alzheimer-s-prevention-tool	samarth2812	samarth2812	JavaScript
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/Sandi1797/Alzheimer-s-disease-prediction-and-prevention	Sandi1797	Sandi1797	Jupyter Notebook
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/beckjing/LeetCode-Solutions	beckjing	beckjing	Swift
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/wfnuser/LearnYouSomeCPPForPreventingAlzheimer-s	wfnuser	wfnuser	C++
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/mohistzh/leetcode	mohistzh	mohistzh	Java
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/chloesavignac/PREVENTAD	chloesavignac	chloesavignac	Jupyter Notebook
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/uwwin/alzheimer	uwwin	uwwin	Jupyter Notebook
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/rodolfocasan/flipmad-multiplatform	rodolfocasan	rodolfocasan	JavaScript
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/RalicaY/Java-Refreshers	RalicaY	RalicaY	Java
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/lout33/simon-say	lout33	lout33	HTML
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/NarencRaghu/Project-Alzheimer-s	NarencRaghu	NarencRaghu	
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/pitinata/APQ	pitinata	pitinata	PHP
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/purrieie/alzhiemers-detection-cnn	purrieie	purrieie	Jupyter Notebook
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/Ridhiman27/Daignose_That	Ridhiman27	Ridhiman27	Jupyter Notebook
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/Shalimar01/Health-Benefits-of-Red-Chilli-Powder-Shalimars.com	Shalimar01	Shalimar01	
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/shikhar8434/hummigo	shikhar8434	shikhar8434; abhineetpandey10; VTG7	Java
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/Harsh-Yadav-02/Parkinson-s-Disease-FOG-	Harsh-Yadav-02	Harsh-Yadav-02	Jupyter Notebook
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/terminalai/GaitAnalyzer-old	terminalai	ThePyProgrammer	Kotlin
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/DRS-Kohli/Parkinson-Disease-Detector	DRS-Kohli	DRS-Kohli	Jupyter Notebook
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/tanisha-hossain/Parkinsons-Pill-Dispenser	tanisha-hossain	tanisha-hossain	C++
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/abhineetpandey10/hummigo	abhineetpandey10	shikhar8434; abhineetpandey10	
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/DarshiniMahesh/AI-Powered_Medical_Diagnosis_System	DarshiniMahesh	DarshiniMahesh	Python
PREVENT Dementia Programme	PREVENT	Dementia prevention; At-risk individuals; Normal Controls	https://github.com/cfmurch/DeepSouth_PD_PAF	cfmurch	cfmurch; UAB-ADRC	R
